recipient_key	recipient_name	ticker	basis	evidence	confirmed_at
00f1b918-21b6-2a89-638d-0ca8b8cbd8f1-C	CUBESMART, L.P.	CUBE	parent-name	SAM.gov parent 'CUBESMART' matches SEC issuer 'CubeSmart' (CUBE); subsidiary 'CUBESMART, L.P.' per SAM.gov hierarchy	2026-07-18
01c4a3a3-b4c5-ce4e-822b-d17f09985001-C	RAYTHEON COMPANY	RTX	parent-name	SAM.gov parent 'RTX CORP' matches SEC issuer 'RTX Corp' (RTX); subsidiary 'RAYTHEON COMPANY' per SAM.gov hierarchy	2026-07-18
01e7329f-0955-7b92-eb6f-88d4f6a39ada-C	JACKSON LABS TECHNOLOGIES, INC.	VIAV	parent-name	SAM.gov parent 'VIAVI SOLUTIONS INC.' matches SEC issuer 'VIAVI SOLUTIONS INC.' (VIAV); subsidiary 'JACKSON LABS TECHNOLOGIES, INC.' per SAM.gov hierarchy	2026-07-18
02040694-f28f-e872-8789-e1bb6b24943b-C	BHR OPERATIONS, L.L.C.	RLJ	parent-name	SAM.gov parent 'RLJ LODGING TRUST' matches SEC issuer 'RLJ Lodging Trust' (RLJ); subsidiary 'BHR OPERATIONS, L.L.C.' per SAM.gov hierarchy	2026-07-18
0209b395-0044-6c01-c916-785d5e530cfd-C	ABBOTT RAPID DIAGNOSTICS INFORMATICS, INC	ABT	parent-name	SAM.gov parent 'ABBOTT LABORATORIES' matches SEC issuer 'ABBOTT LABORATORIES' (ABT); subsidiary 'ABBOTT RAPID DIAGNOSTICS INFORMATICS, INC' per SAM.gov hierarchy	2026-07-18
02d96557-827b-7983-b39e-007f84487932-C	W.W. GRAINGER, INC.	GWW	own-name	Recipient name 'W.W. GRAINGER, INC.' matches SEC issuer 'W.W. GRAINGER, INC.' (GWW)	2026-07-18
0341544e-23d8-fe98-3d76-1cdbc8b37e2f-C	VERIZON BUSINESS NETWORK SERVICES LLC	VZ	parent-name	SAM.gov parent 'VERIZON COMMUNICATIONS INC' matches SEC issuer 'VERIZON COMMUNICATIONS INC' (VZ); subsidiary 'VERIZON BUSINESS NETWORK SERVICES LLC' per SAM.gov hierarchy	2026-07-18
03e6aa2c-3b20-ee29-304a-c31f21ebb697-C	DEPUY SYNTHES SALES INC	JNJ	parent-name	SAM.gov parent 'JOHNSON & JOHNSON' matches SEC issuer 'JOHNSON & JOHNSON' (JNJ); subsidiary 'DEPUY SYNTHES SALES INC' per SAM.gov hierarchy	2026-07-18
048f7d74-e612-9fae-4a35-d74f6084ac66-C	VIRGINIA ELECTRIC AND POWER COMPANY	D	parent-name	SAM.gov parent 'DOMINION ENERGY, INC.' matches SEC issuer 'DOMINION ENERGY, INC' (D); subsidiary 'VIRGINIA ELECTRIC AND POWER COMPANY' per SAM.gov hierarchy	2026-07-18
053dbdd8-4559-4d19-68e0-1eeef06359eb-C	TWILIO INC.	TWLO	own-name	Recipient name 'TWILIO INC.' matches SEC issuer 'TWILIO INC' (TWLO)	2026-07-18
0572af7f-c8f7-6604-db66-ea4e2f1b0464-C	BOSTON SCIENTIFIC CORP	BSX	own-name	Recipient name 'BOSTON SCIENTIFIC CORP' matches SEC issuer 'BOSTON SCIENTIFIC CORP' (BSX)	2026-07-18
062de2a2-7a1a-3952-0572-54e705c0f1e0-C	SBA TOWERS IV LLC	SBAC	parent-name	SAM.gov parent 'SBA COMMUNICATIONS CORPORATION' matches SEC issuer 'SBA COMMUNICATIONS CORP' (SBAC); subsidiary 'SBA TOWERS IV LLC' per SAM.gov hierarchy	2026-07-18
063ae0c7-0487-a45d-7113-69746115d7df-C	BRUINS LESSEE LLC	PEB	parent-name	SAM.gov parent 'PEBBLEBROOK HOTEL TRUST' matches SEC issuer 'Pebblebrook Hotel Trust' (PEB); subsidiary 'BRUINS LESSEE LLC' per SAM.gov hierarchy	2026-07-18
06d55b8d-0bcb-c654-8213-1001f38dd3d2-C	AMAZON.COM SERVICES LLC	AMZN	own-name	Recipient name 'AMAZON.COM SERVICES LLC' matches SEC issuer 'AMAZON COM INC' (AMZN)	2026-07-18
07aac610-edb4-a86c-7ce4-8aebfcc17d72-C	CHARLES RIVER LABORATORIES, INC.	CRL	own-name	Recipient name 'CHARLES RIVER LABORATORIES, INC.' matches SEC issuer 'CHARLES RIVER LABORATORIES INTERNATIONAL, INC.' (CRL)	2026-07-18
07c2f679-0c96-de89-c0d0-dc2e1bba1605-C	DEPUY SYNTHES SALES, INC.	JNJ	parent-name	SAM.gov parent 'JOHNSON & JOHNSON' matches SEC issuer 'JOHNSON & JOHNSON' (JNJ); subsidiary 'DEPUY SYNTHES SALES, INC.' per SAM.gov hierarchy	2026-07-18
07cec1ba-5444-1dd1-fc10-8a488f8d8170-C	AMO SALES AND SERVICE, INC.	ABT	parent-name	SAM.gov parent 'ABBOTT LABORATORIES' matches SEC issuer 'ABBOTT LABORATORIES' (ABT); subsidiary 'AMO SALES AND SERVICE, INC.' per SAM.gov hierarchy	2026-07-18
090aeb19-5945-b597-a4c4-a3360aee2145-C	CENTERPOINT ENERGY RESOURCES CORP.	CNP	parent-name	SAM.gov parent 'CENTERPOINT ENERGY, INC.' matches SEC issuer 'CENTERPOINT ENERGY INC' (CNP); subsidiary 'CENTERPOINT ENERGY RESOURCES CORP.' per SAM.gov hierarchy	2026-07-18
098d3c62-6cd7-dfa5-b947-763fbdc54ed4-C	IRON MOUNTAIN SECURE SHREDDING, INC.	IRM	parent-name	SAM.gov parent 'IRON MOUNTAIN INCORPORATED' matches SEC issuer 'IRON MOUNTAIN INC' (IRM); subsidiary 'IRON MOUNTAIN SECURE SHREDDING, INC.' per SAM.gov hierarchy	2026-07-18
09c94e6e-003f-7a9a-a6a9-2305eb5b6025-C	APPLE INC	AAPL	own-name	Recipient name 'APPLE INC' matches SEC issuer 'Apple Inc.' (AAPL)	2026-07-18
0a1870fe-63cf-230c-7cff-41a3c552489b-C	AT&T ENTERPRISES, LLC	T	own-name	Recipient name 'AT&T ENTERPRISES, LLC' matches SEC issuer 'AT&T INC.' (T)	2026-07-18
0a4b86ce-1724-5067-6aa7-f0a9af50c129-C	ALLEGIANT AIR LLC	ALGT	parent-name	SAM.gov parent 'ALLEGIANT TRAVEL COMPANY' matches SEC issuer 'Allegiant Travel CO' (ALGT); subsidiary 'ALLEGIANT AIR LLC' per SAM.gov hierarchy	2026-07-18
0a66ad45-abfc-7ae0-0665-32d88ff1fb22-C	NORTHERN STATES POWER COMPANY	XEL	parent-name	SAM.gov parent 'XCEL ENERGY INC.' matches SEC issuer 'XCEL ENERGY INC' (XEL); subsidiary 'NORTHERN STATES POWER COMPANY' per SAM.gov hierarchy	2026-07-18
0b19e4e4-bf1e-773b-a5c6-59683d308e14-C	RIVERSIDE ENGINEERING LLC	BAH	parent-name	SAM.gov parent 'BOOZ ALLEN HAMILTON HOLDING CORPORATION' matches SEC issuer 'Booz Allen Hamilton Holding Corp' (BAH); subsidiary 'RIVERSIDE ENGINEERING LLC' per SAM.gov hierarchy	2026-07-18
0c2ec31a-524a-3983-8a91-f1b84e521dcb-C	CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.	ED	parent-name	SAM.gov parent 'CONSOLIDATED EDISON, INC.' matches SEC issuer 'CONSOLIDATED EDISON INC' (ED); subsidiary 'CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.' per SAM.gov hierarchy	2026-07-18
0d87bad0-744d-064c-e353-5ade09f3bc25-C	SNAP, INC	SNAP	own-name	Recipient name 'SNAP, INC' matches SEC issuer 'Snap Inc' (SNAP)	2026-07-18
0ec2982e-1af5-7c07-1267-43ca6833f333-C	MOTOROLA SOLUTIONS, INC.	MSI	own-name	Recipient name 'MOTOROLA SOLUTIONS, INC.' matches SEC issuer 'Motorola Solutions, Inc.' (MSI)	2026-07-18
0eedf238-8a2b-ad43-3239-d399ca132f85-C	HONEYWELL INTERNATIONAL, INC	HON	own-name	Recipient name 'HONEYWELL INTERNATIONAL, INC' matches SEC issuer 'HONEYWELL INTERNATIONAL INC' (HON)	2026-07-18
0f4fc69f-90b0-3adc-8052-aaef04b55efa-C	CARRIER CORPORATION	RTX	parent-name	SAM.gov parent 'RTX CORP' matches SEC issuer 'RTX Corp' (RTX); subsidiary 'CARRIER CORPORATION' per SAM.gov hierarchy	2026-07-18
108b454d-a668-8157-acbc-d6947e8e52dc-C	MCI COMMUNICATIONS SERVICES LLC	VZ	parent-name	SAM.gov parent 'VERIZON COMMUNICATIONS INC' matches SEC issuer 'VERIZON COMMUNICATIONS INC' (VZ); subsidiary 'MCI COMMUNICATIONS SERVICES LLC' per SAM.gov hierarchy	2026-07-18
13118f61-1859-be73-03d7-603420277bb2-C	S&P GLOBAL INC.	SPGI	own-name	Recipient name 'S&P GLOBAL INC.' matches SEC issuer 'S&P Global Inc.' (SPGI)	2026-07-18
14c92d76-9870-ace3-dbf2-431863daf0bd-C	KBR WYLE SERVICES, LLC	HON	parent-name	SAM.gov parent 'HONEYWELL INTERNATIONAL INC' matches SEC issuer 'HONEYWELL INTERNATIONAL INC' (HON); subsidiary 'KBR WYLE SERVICES, LLC' per SAM.gov hierarchy	2026-07-18
14e4d073-7ea5-fc77-e8ca-5b8ec1645798-C	CONCUR TECHNOLOGIES, INC.	SAP	parent-name	SAM.gov parent 'SAP SE' matches SEC issuer 'SAP SE' (SAP); subsidiary 'CONCUR TECHNOLOGIES, INC.' per SAM.gov hierarchy	2026-07-18
15b365af-a0c6-6012-a948-a35741cd0ea2-C	HONEYWELL INTERNATIONAL INC.	HON	own-name	Recipient name 'HONEYWELL INTERNATIONAL INC.' matches SEC issuer 'HONEYWELL INTERNATIONAL INC' (HON)	2026-07-18
1673f61b-6d1c-da56-666d-efb569d6b968-C	THERMO FISHER SCIENTIFIC (ASHEVILLE) LLC	TMO	parent-name	SAM.gov parent 'THERMO FISHER SCIENTIFIC INC.' matches SEC issuer 'THERMO FISHER SCIENTIFIC INC.' (TMO); subsidiary 'THERMO FISHER SCIENTIFIC (ASHEVILLE) LLC' per SAM.gov hierarchy	2026-07-18
168dba4a-3269-cddb-6256-d010ad1944d7-C	THERMO ELECTRON NORTH AMERICA LLC	TMO	parent-name	SAM.gov parent 'THERMO FISHER SCIENTIFIC INC.' matches SEC issuer 'THERMO FISHER SCIENTIFIC INC.' (TMO); subsidiary 'THERMO ELECTRON NORTH AMERICA LLC' per SAM.gov hierarchy	2026-07-18
17062da9-ec5b-68dc-3368-31e2e4478238-C	SAP PUBLIC SERVICES INC	SAP	parent-name	SAM.gov parent 'SAP SE' matches SEC issuer 'SAP SE' (SAP); subsidiary 'SAP PUBLIC SERVICES INC' per SAM.gov hierarchy	2026-07-18
17296d12-dcf2-41f7-d285-c595591b6a77-C	RAYTHEON COMPANY	RTX	parent-name	SAM.gov parent 'RTX CORP' matches SEC issuer 'RTX Corp' (RTX); subsidiary 'RAYTHEON COMPANY' per SAM.gov hierarchy	2026-07-18
18263529-f8f1-59ff-6263-cec7193e5975-C	GRIMES AEROSPACE COMPANY	HON	parent-name	SAM.gov parent 'HONEYWELL INTERNATIONAL INC' matches SEC issuer 'HONEYWELL INTERNATIONAL INC' (HON); subsidiary 'GRIMES AEROSPACE COMPANY' per SAM.gov hierarchy	2026-07-18
1a73c826-93ea-5350-f541-533cae0f38f2-C	PPG INDUSTRIES, INC.	PPG	own-name	Recipient name 'PPG INDUSTRIES, INC.' matches SEC issuer 'PPG INDUSTRIES INC' (PPG)	2026-07-18
1aa2628c-1397-0a64-42fc-579340cc3882-C	SCOTT TECHNOLOGIES, INC.	JCI	parent-name	SAM.gov parent 'JOHNSON CONTROLS, INC.' matches SEC issuer 'Johnson Controls International plc' (JCI); subsidiary 'SCOTT TECHNOLOGIES, INC.' per SAM.gov hierarchy	2026-07-18
1b23e97c-d19e-eb84-942e-5941369c9141-C	GENERAL DYNAMICS ONE SOURCE LLC	GD	parent-name	SAM.gov parent 'GENERAL DYNAMICS CORP' matches SEC issuer 'GENERAL DYNAMICS CORP' (GD); subsidiary 'GENERAL DYNAMICS ONE SOURCE LLC' per SAM.gov hierarchy	2026-07-18
1b7f3eb3-de98-faf4-9509-c4a9568ad372-C	CITIBANK, NATIONAL ASSOCIATION	C	parent-name	SAM.gov parent 'CITIGROUP INC.' matches SEC issuer 'CITIGROUP INC' (C); subsidiary 'CITIBANK, NATIONAL ASSOCIATION' per SAM.gov hierarchy	2026-07-18
