recipient_key	recipient_name	parent_name	candidate_ticker	basis
01c4a3a3-b4c5-ce4e-822b-d17f09985001-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
01e7329f-0955-7b92-eb6f-88d4f6a39ada-C	JACKSON LABS TECHNOLOGIES, INC.	VIAVI SOLUTIONS INC.	VIAV	parent-name
02040694-f28f-e872-8789-e1bb6b24943b-C	BHR OPERATIONS, L.L.C.	RLJ LODGING TRUST	RLJ	parent-name
0209b395-0044-6c01-c916-785d5e530cfd-C	ABBOTT RAPID DIAGNOSTICS INFORMATICS, INC	ABBOTT LABORATORIES	ABT	parent-name
0341544e-23d8-fe98-3d76-1cdbc8b37e2f-C	VERIZON BUSINESS NETWORK SERVICES LLC	VERIZON COMMUNICATIONS INC	VZ	parent-name
03e6aa2c-3b20-ee29-304a-c31f21ebb697-C	DEPUY SYNTHES SALES INC	JOHNSON & JOHNSON	JNJ	parent-name
048f7d74-e612-9fae-4a35-d74f6084ac66-C	VIRGINIA ELECTRIC AND POWER COMPANY	DOMINION ENERGY, INC.	D	parent-name
062de2a2-7a1a-3952-0572-54e705c0f1e0-C	SBA TOWERS IV LLC	SBA COMMUNICATIONS CORPORATION	SBAC	parent-name
063ae0c7-0487-a45d-7113-69746115d7df-C	BRUINS LESSEE LLC	PEBBLEBROOK HOTEL TRUST	PEB	parent-name
07c2f679-0c96-de89-c0d0-dc2e1bba1605-C	DEPUY SYNTHES SALES, INC.	JOHNSON & JOHNSON	JNJ	parent-name
07cec1ba-5444-1dd1-fc10-8a488f8d8170-C	AMO SALES AND SERVICE, INC.	ABBOTT LABORATORIES	ABT	parent-name
0a4b86ce-1724-5067-6aa7-f0a9af50c129-C	ALLEGIANT AIR LLC	ALLEGIANT TRAVEL COMPANY	ALGT	parent-name
0a66ad45-abfc-7ae0-0665-32d88ff1fb22-C	NORTHERN STATES POWER COMPANY	XCEL ENERGY INC.	XEL	parent-name
0b19e4e4-bf1e-773b-a5c6-59683d308e14-C	RIVERSIDE ENGINEERING LLC	BOOZ ALLEN HAMILTON HOLDING CORPORATION	BAH	parent-name
0f4fc69f-90b0-3adc-8052-aaef04b55efa-C	CARRIER CORPORATION	RTX CORP	RTX	parent-name
108b454d-a668-8157-acbc-d6947e8e52dc-C	MCI COMMUNICATIONS SERVICES LLC	VERIZON COMMUNICATIONS INC	VZ	parent-name
14c92d76-9870-ace3-dbf2-431863daf0bd-C	KBR WYLE SERVICES, LLC	HONEYWELL INTERNATIONAL INC	HON	parent-name
14e4d073-7ea5-fc77-e8ca-5b8ec1645798-C	CONCUR TECHNOLOGIES, INC.	SAP SE	SAP	parent-name
168dba4a-3269-cddb-6256-d010ad1944d7-C	THERMO ELECTRON NORTH AMERICA LLC	THERMO FISHER SCIENTIFIC INC.	TMO	parent-name
17062da9-ec5b-68dc-3368-31e2e4478238-C	SAP PUBLIC SERVICES INC	SAP SE	SAP	parent-name
17296d12-dcf2-41f7-d285-c595591b6a77-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
18263529-f8f1-59ff-6263-cec7193e5975-C	GRIMES AEROSPACE COMPANY	HONEYWELL INTERNATIONAL INC	HON	parent-name
1aa2628c-1397-0a64-42fc-579340cc3882-C	SCOTT TECHNOLOGIES, INC.	JOHNSON CONTROLS, INC.	JCI	parent-name
1b7f3eb3-de98-faf4-9509-c4a9568ad372-C	CITIBANK, NATIONAL ASSOCIATION	CITIGROUP INC.	C	parent-name
1fd9c5d7-99f5-9f2b-29ce-2333453eb637-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
203430f8-c340-6b28-6176-a3251ad63357-C	WICKR LLC	AMAZON.COM, INC.	AMZN	parent-name
2059c143-eab8-8123-0622-9f40d0741839-C	PACIFIC BELL TELEPHONE COMPANY	AT&T INC.	T	parent-name
