recipient_key	recipient_name	ticker	basis	evidence	confirmed_at
00f1b918-21b6-2a89-638d-0ca8b8cbd8f1-C	CUBESMART, L.P.	CUBE	parent-name	SAM.gov parent 'CUBESMART' matches SEC issuer 'CubeSmart' (CUBE); subsidiary 'CUBESMART, L.P.' per SAM.gov hierarchy; brand-consistent subsidiary name ('CUBESMART, L.P.' carries issuer brand)	2026-07-18
02d96557-827b-7983-b39e-007f84487932-C	W.W. GRAINGER, INC.	GWW	own-name	Recipient name 'W.W. GRAINGER, INC.' matches SEC issuer 'W.W. GRAINGER, INC.' (GWW)	2026-07-18
053dbdd8-4559-4d19-68e0-1eeef06359eb-C	TWILIO INC.	TWLO	own-name	Recipient name 'TWILIO INC.' matches SEC issuer 'TWILIO INC' (TWLO)	2026-07-18
0572af7f-c8f7-6604-db66-ea4e2f1b0464-C	BOSTON SCIENTIFIC CORP	BSX	own-name	Recipient name 'BOSTON SCIENTIFIC CORP' matches SEC issuer 'BOSTON SCIENTIFIC CORP' (BSX)	2026-07-18
06d55b8d-0bcb-c654-8213-1001f38dd3d2-C	AMAZON.COM SERVICES LLC	AMZN	own-name	Recipient name 'AMAZON.COM SERVICES LLC' matches SEC issuer 'AMAZON COM INC' (AMZN)	2026-07-18
07aac610-edb4-a86c-7ce4-8aebfcc17d72-C	CHARLES RIVER LABORATORIES, INC.	CRL	own-name	Recipient name 'CHARLES RIVER LABORATORIES, INC.' matches SEC issuer 'CHARLES RIVER LABORATORIES INTERNATIONAL, INC.' (CRL)	2026-07-18
090aeb19-5945-b597-a4c4-a3360aee2145-C	CENTERPOINT ENERGY RESOURCES CORP.	CNP	parent-name	SAM.gov parent 'CENTERPOINT ENERGY, INC.' matches SEC issuer 'CENTERPOINT ENERGY INC' (CNP); subsidiary 'CENTERPOINT ENERGY RESOURCES CORP.' per SAM.gov hierarchy; brand-consistent subsidiary name ('CENTERPOINT ENERGY RESOURCES CORP.' carries issuer brand)	2026-07-18
098d3c62-6cd7-dfa5-b947-763fbdc54ed4-C	IRON MOUNTAIN SECURE SHREDDING, INC.	IRM	parent-name	SAM.gov parent 'IRON MOUNTAIN INCORPORATED' matches SEC issuer 'IRON MOUNTAIN INC' (IRM); subsidiary 'IRON MOUNTAIN SECURE SHREDDING, INC.' per SAM.gov hierarchy; brand-consistent subsidiary name ('IRON MOUNTAIN SECURE SHREDDING, INC.' carries issuer brand)	2026-07-18
09c94e6e-003f-7a9a-a6a9-2305eb5b6025-C	APPLE INC	AAPL	own-name	Recipient name 'APPLE INC' matches SEC issuer 'Apple Inc.' (AAPL)	2026-07-18
0a1870fe-63cf-230c-7cff-41a3c552489b-C	AT&T ENTERPRISES, LLC	T	own-name	Recipient name 'AT&T ENTERPRISES, LLC' matches SEC issuer 'AT&T INC.' (T)	2026-07-18
0c2ec31a-524a-3983-8a91-f1b84e521dcb-C	CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.	ED	parent-name	SAM.gov parent 'CONSOLIDATED EDISON, INC.' matches SEC issuer 'CONSOLIDATED EDISON INC' (ED); subsidiary 'CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.' per SAM.gov hierarchy; brand-consistent subsidiary name ('CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.' carries issuer brand)	2026-07-18
0d87bad0-744d-064c-e353-5ade09f3bc25-C	SNAP, INC	SNAP	own-name	Recipient name 'SNAP, INC' matches SEC issuer 'Snap Inc' (SNAP)	2026-07-18
0ec2982e-1af5-7c07-1267-43ca6833f333-C	MOTOROLA SOLUTIONS, INC.	MSI	own-name	Recipient name 'MOTOROLA SOLUTIONS, INC.' matches SEC issuer 'Motorola Solutions, Inc.' (MSI)	2026-07-18
0eedf238-8a2b-ad43-3239-d399ca132f85-C	HONEYWELL INTERNATIONAL, INC	HON	own-name	Recipient name 'HONEYWELL INTERNATIONAL, INC' matches SEC issuer 'HONEYWELL INTERNATIONAL INC' (HON)	2026-07-18
13118f61-1859-be73-03d7-603420277bb2-C	S&P GLOBAL INC.	SPGI	own-name	Recipient name 'S&P GLOBAL INC.' matches SEC issuer 'S&P Global Inc.' (SPGI)	2026-07-18
15b365af-a0c6-6012-a948-a35741cd0ea2-C	HONEYWELL INTERNATIONAL INC.	HON	own-name	Recipient name 'HONEYWELL INTERNATIONAL INC.' matches SEC issuer 'HONEYWELL INTERNATIONAL INC' (HON)	2026-07-18
1673f61b-6d1c-da56-666d-efb569d6b968-C	THERMO FISHER SCIENTIFIC (ASHEVILLE) LLC	TMO	parent-name	SAM.gov parent 'THERMO FISHER SCIENTIFIC INC.' matches SEC issuer 'THERMO FISHER SCIENTIFIC INC.' (TMO); subsidiary 'THERMO FISHER SCIENTIFIC (ASHEVILLE) LLC' per SAM.gov hierarchy; brand-consistent subsidiary name ('THERMO FISHER SCIENTIFIC (ASHEVILLE) LLC' carries issuer brand)	2026-07-18
1a73c826-93ea-5350-f541-533cae0f38f2-C	PPG INDUSTRIES, INC.	PPG	own-name	Recipient name 'PPG INDUSTRIES, INC.' matches SEC issuer 'PPG INDUSTRIES INC' (PPG)	2026-07-18
1b23e97c-d19e-eb84-942e-5941369c9141-C	GENERAL DYNAMICS ONE SOURCE LLC	GD	parent-name	SAM.gov parent 'GENERAL DYNAMICS CORP' matches SEC issuer 'GENERAL DYNAMICS CORP' (GD); subsidiary 'GENERAL DYNAMICS ONE SOURCE LLC' per SAM.gov hierarchy; brand-consistent subsidiary name ('GENERAL DYNAMICS ONE SOURCE LLC' carries issuer brand)	2026-07-18
1b870f9e-28fd-fecf-a5bd-abb4bd04e550-C	LOCKHEED MARTIN CORPORATION	LMT	own-name	Recipient name 'LOCKHEED MARTIN CORPORATION' matches SEC issuer 'LOCKHEED MARTIN CORP' (LMT)	2026-07-18
1c5c053c-719d-0c13-5434-9736426147ef-C	HONEYWELL INTERNATIONAL INC.	HON	own-name	Recipient name 'HONEYWELL INTERNATIONAL INC.' matches SEC issuer 'HONEYWELL INTERNATIONAL INC' (HON)	2026-07-18
1d10c8dc-bddb-c540-f234-91dd249f452e-C	ADVANCED MICRO DEVICES, INC.	AMD	own-name	Recipient name 'ADVANCED MICRO DEVICES, INC.' matches SEC issuer 'ADVANCED MICRO DEVICES INC' (AMD)	2026-07-18
1d88632b-81d6-b72b-652f-c183b3bf0481-C	GENERAL DYNAMICS MISSION SYSTEMS, INC.	GD	parent-name	SAM.gov parent 'GENERAL DYNAMICS CORP' matches SEC issuer 'GENERAL DYNAMICS CORP' (GD); subsidiary 'GENERAL DYNAMICS MISSION SYSTEMS, INC.' per SAM.gov hierarchy; brand-consistent subsidiary name ('GENERAL DYNAMICS MISSION SYSTEMS, INC.' carries issuer brand)	2026-07-18
1e2a2523-5616-b8b9-20ad-976519364d40-C	ATMOS ENERGY CORPORATION	ATO	own-name	Recipient name 'ATMOS ENERGY CORPORATION' matches SEC issuer 'ATMOS ENERGY CORP' (ATO)	2026-07-18
1fa8e8a8-9489-3b06-779d-7bd4ce531b2e-C	AT&T CORP.	T	own-name	Recipient name 'AT&T CORP.' matches SEC issuer 'AT&T INC.' (T)	2026-07-18
1ff1ee01-c907-4842-d443-a2ba2302dcf5-C	SYSCO WESTERN MINNESOTA, INC.	SYY	parent-name	SAM.gov parent 'SYSCO CORP' matches SEC issuer 'SYSCO CORP' (SYY); subsidiary 'SYSCO WESTERN MINNESOTA, INC.' per SAM.gov hierarchy; brand-consistent subsidiary name ('SYSCO WESTERN MINNESOTA, INC.' carries issuer brand)	2026-07-18
21b5ad17-3d56-1895-9497-59bc8f8d29f0-C	ARTIVION, INC	AORT	own-name	Recipient name 'ARTIVION, INC' matches SEC issuer 'ARTIVION, INC.' (AORT)	2026-07-18
26206021-3c95-80f8-8ebb-e44b98937974-C	SMITH & NEPHEW, INC.	SNN	own-name	Recipient name 'SMITH & NEPHEW, INC.' matches SEC issuer 'SMITH & NEPHEW PLC' (SNN)	2026-07-18
2697b8f8-115d-2ae1-bded-25a933bfd6ca-C	SMITH & NEPHEW INC	SNN	own-name	Recipient name 'SMITH & NEPHEW INC' matches SEC issuer 'SMITH & NEPHEW PLC' (SNN)	2026-07-18
27eda372-3f44-0c3c-7b78-b7f5dbefd2e8-C	CUSHMAN & WAKEFIELD INC	CWK	own-name	Recipient name 'CUSHMAN & WAKEFIELD INC' matches SEC issuer 'Cushman & Wakefield Ltd.' (CWK)	2026-07-18
28322da1-4ca5-b20b-1e6e-6c3da7ae8071-C	NATIONAL GRID USA SERVICE COMPANY, INC.	NGG	own-name	Recipient name 'NATIONAL GRID USA SERVICE COMPANY, INC.' matches SEC issuer 'NATIONAL GRID PLC' (NGG)	2026-07-18
2bcc84b1-fc6a-77a3-e418-10abe600fb5f-C	JOHNSON CONTROLS FIRE PROTECTION LP	JCI	parent-name	SAM.gov parent 'JOHNSON CONTROLS, INC.' matches SEC issuer 'Johnson Controls International plc' (JCI); subsidiary 'JOHNSON CONTROLS FIRE PROTECTION LP' per SAM.gov hierarchy; brand-consistent subsidiary name ('JOHNSON CONTROLS FIRE PROTECTION LP' carries issuer brand)	2026-07-18
2daab7a7-91da-74a6-ba82-682ef9da1fc7-C	ROCKWELL AUTOMATION, INC.	ROK	own-name	Recipient name 'ROCKWELL AUTOMATION, INC.' matches SEC issuer 'ROCKWELL AUTOMATION, INC' (ROK)	2026-07-18
30b32b62-ffbf-d7e6-5b9d-95a295b95a6d-C	BOOZ ALLEN HAMILTON INC	BAH	own-name	Recipient name 'BOOZ ALLEN HAMILTON INC' matches SEC issuer 'Booz Allen Hamilton Holding Corp' (BAH)	2026-07-18
360760cb-a2ed-6aa4-2d81-a7909557d12c-C	HONEYWELL INTERNATIONAL INC.	HON	own-name	Recipient name 'HONEYWELL INTERNATIONAL INC.' matches SEC issuer 'HONEYWELL INTERNATIONAL INC' (HON)	2026-07-18
