recipient_key	recipient_name	parent_name	candidate_ticker	basis
04ad27e0-68b0-8532-dad9-a684a33b00c2-C	MEDTRONIC USA, INC.		MDT	own-name
052f7eaa-fbfb-3116-d2ae-7e47c955ad7d-C	CDA INTERCORP LLC	TRANSDIGM GROUP INCORPORATED	TDG	parent-name
0900a523-4a41-5037-196c-25f1cb088273-C	DESCARTES SYSTEMS USA LLC		DSGX	own-name
0abea40a-72e5-fad5-db9b-b142cbb981e4-C	TENNANT SALES AND SERVICE COMPANY	TENNANT COMPANY	TNC	parent-name
0d5d456b-6d06-d27c-1fbe-d75198e724b6-C	COMMONWEALTH EDISON CO	EXELON CORPORATION	EXC	parent-name
12742781-f07d-409b-9a61-cb580599e8c2-C	MCKESSON CORPORATION		MCK	own-name
136e47c1-2fd0-02b1-44eb-264cbc9d4bf9-C	OPTUM INFUSION SERVICES 308, LLC	UNITEDHEALTH GROUP INCORPORATED	UNH	parent-name
1a41e919-856a-75e3-7343-49b3e7cfe93e-C	ARRAY USA, INC.		ARRY	own-name
1e48f7b0-13db-6b61-9e05-92c1296a945d-C	ACCENTURE LLP		ACN	own-name
2249cec5-5efe-d211-bfc4-e6dd47f0bf67-C	FLUOR FEDERAL PETROLEUM OPERATIONS, LLC	FLUOR CORPORATION	FLR	parent-name
23e9e4e5-69e4-bf74-8239-89472729f508-C	CINTAS CORPORATION		CTAS	own-name
258226b6-504d-afdd-19f9-d44ccc479d83-C	FASTENAL COMPANY		FAST	own-name
26aa8e97-43ed-6854-a2a4-69cd900d6869-C	STRYKER CORPORATION		SYK	own-name
272478a2-195f-1dd5-da03-0969b678caf4-C	ORACLE AMERICA, INC		ORCL	own-name
29ab01ce-ef72-15ef-b2db-c229f0c84471-C	3M COMPANY		MMM	own-name
2aaf55ac-5aa8-9213-5b2c-1d42641923c2-C	GITHUB INC	MICROSOFT CORPORATION	MSFT	parent-name
2cd822cf-04c8-0397-8526-d6da8ff340a8-C	THE LEWIN GROUP, INC.	UNITEDHEALTH GROUP INCORPORATED	UNH	parent-name
312704a7-ed93-0b45-333a-f677eee767a5-C	EATON CORPORATION		ETN	own-name
32ddce81-1d28-db0a-9df2-8159ab4a74d0-C	RELX INC.		RELX	own-name
35250199-64c8-5b68-793d-7e575108528b-C	MACOM TECHNOLOGY SOLUTIONS INC.		MTSI	own-name
36f52d4f-90c7-008c-9a20-96960a5cb01f-C	PHYSIO-CONTROL INC	STRYKER CORPORATION	SYK	parent-name
37abf6db-6e7f-3f1e-1f7d-3285df15154c-C	OPTUM PHARMACY 801, INC.	UNITEDHEALTH GROUP INCORPORATED	UNH	parent-name
385c148c-559c-6218-53ff-80836c64dc4c-C	VECTRUS SYSTEMS LLC	ITT CORPORATION	ITT	parent-name
3a9f8f49-b8da-38c7-f7e9-c3dc0abb0af4-C	MCKESSON PLASMA AND BIOLOGICS LLC	MCKESSON CORPORATION	MCK	parent-name
3d1c24f2-aa60-5560-2dba-3e8c5d2cc5bc-C	HEAT SOFTWARE USA INC.	FORTIVE CORPORATION	FTV	parent-name
3d6c62dd-afb7-6b62-76f9-0a803019320c-C	CHANGE HEALTHCARE OPERATIONS, LLC	MCKESSON CORPORATION	MCK	parent-name
3f5036cc-e492-bf7a-5c1e-6c0e1033aab0-C	THOR SOLUTIONS LLC		THO	own-name
403e9dd0-77f7-a96a-2bb4-ae8b4972ca0e-C	MEDTRONIC INC		MDT	own-name
41694631-0b0f-72ed-221b-29193c88f0d2-C	OPTUM PUBLIC SECTOR SOLUTIONS, INC.	UNITEDHEALTH GROUP INCORPORATED	UNH	parent-name
42d0eda5-ff47-11c7-c37b-d7ee447896f3-C	MEDTRONIC USA INC		MDT	own-name
437688b7-6fc2-8c51-1405-9477da96649c-C	STERIS CORPORATION		STE	own-name
43ff1ec9-50e5-1d35-a392-44e72080802d-C	MHN GOVERNMENT SERVICES LLC	CENTENE CORPORATION	CNC	parent-name
47d067a1-f961-09ca-7b41-dbd318aced0c-C	ROME RESEARCH, LLC	PAR TECHNOLOGY CORPORATION	PAR	parent-name
47fdfa4e-1d2c-ce21-54b8-922832ac22b2-C	L3HARRIS TECHNOLOGIES, INC	ITT CORPORATION	ITT	parent-name
49e0dd6d-3903-1f22-009c-e32a560b8ee0-C	STRYKER CORPORATION		SYK	own-name
4ca161f0-b346-caf7-d8b5-fbc0618a124c-C	HUNTSMAN INTERNATIONAL LLC		HUN	own-name
5045cd4a-6b25-9e0a-5d1b-3a9559fadb93-C	FLUOR ENTERPRISES, INC.		FLR	own-name
5186820c-4018-c1ac-5cf3-c5ecd52bcc0c-C	PRAXAIR, INC.	LINDE INC.	LIN	parent-name
521de427-4f94-2745-b4c8-ea4476918426-C	CHANGE HEALTHCARE TECHNOLOGIES LLC	MCKESSON CORPORATION	MCK	parent-name
549302b4-4569-6c1e-ab19-17406ede8abb-C	PROVATION SOFTWARE, INC.	FORTIVE CORPORATION	FTV	parent-name
54b343cd-3a19-9758-8e57-f6a5ccdca521-C	FILMETRICS INC	KLA CORPORATION	KLAC	parent-name
