recipient_key	recipient_name	parent_name	candidate_ticker	basis
00f1b918-21b6-2a89-638d-0ca8b8cbd8f1-C	CUBESMART, L.P.	CUBESMART	CUBE	parent-name
01c4a3a3-b4c5-ce4e-822b-d17f09985001-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
01e7329f-0955-7b92-eb6f-88d4f6a39ada-C	JACKSON LABS TECHNOLOGIES, INC.	VIAVI SOLUTIONS INC.	VIAV	parent-name
02040694-f28f-e872-8789-e1bb6b24943b-C	BHR OPERATIONS, L.L.C.	RLJ LODGING TRUST	RLJ	parent-name
0209b395-0044-6c01-c916-785d5e530cfd-C	ABBOTT RAPID DIAGNOSTICS INFORMATICS, INC	ABBOTT LABORATORIES	ABT	parent-name
02d96557-827b-7983-b39e-007f84487932-C	W.W. GRAINGER, INC.		GWW	own-name
0341544e-23d8-fe98-3d76-1cdbc8b37e2f-C	VERIZON BUSINESS NETWORK SERVICES LLC	VERIZON COMMUNICATIONS INC	VZ	parent-name
03e6aa2c-3b20-ee29-304a-c31f21ebb697-C	DEPUY SYNTHES SALES INC	JOHNSON & JOHNSON	JNJ	parent-name
048f7d74-e612-9fae-4a35-d74f6084ac66-C	VIRGINIA ELECTRIC AND POWER COMPANY	DOMINION ENERGY, INC.	D	parent-name
04ad27e0-68b0-8532-dad9-a684a33b00c2-C	MEDTRONIC USA, INC.		MDT	own-name
052f7eaa-fbfb-3116-d2ae-7e47c955ad7d-C	CDA INTERCORP LLC	TRANSDIGM GROUP INCORPORATED	TDG	parent-name
053dbdd8-4559-4d19-68e0-1eeef06359eb-C	TWILIO INC.		TWLO	own-name
0572af7f-c8f7-6604-db66-ea4e2f1b0464-C	BOSTON SCIENTIFIC CORP		BSX	own-name
062de2a2-7a1a-3952-0572-54e705c0f1e0-C	SBA TOWERS IV LLC	SBA COMMUNICATIONS CORPORATION	SBAC	parent-name
063ae0c7-0487-a45d-7113-69746115d7df-C	BRUINS LESSEE LLC	PEBBLEBROOK HOTEL TRUST	PEB	parent-name
06d55b8d-0bcb-c654-8213-1001f38dd3d2-C	AMAZON.COM SERVICES LLC		AMZN	own-name
07aac610-edb4-a86c-7ce4-8aebfcc17d72-C	CHARLES RIVER LABORATORIES, INC.		CRL	own-name
07c2f679-0c96-de89-c0d0-dc2e1bba1605-C	DEPUY SYNTHES SALES, INC.	JOHNSON & JOHNSON	JNJ	parent-name
07cec1ba-5444-1dd1-fc10-8a488f8d8170-C	AMO SALES AND SERVICE, INC.	ABBOTT LABORATORIES	ABT	parent-name
0900a523-4a41-5037-196c-25f1cb088273-C	DESCARTES SYSTEMS USA LLC		DSGX	own-name
090aeb19-5945-b597-a4c4-a3360aee2145-C	CENTERPOINT ENERGY RESOURCES CORP.	CENTERPOINT ENERGY, INC.	CNP	parent-name
098d3c62-6cd7-dfa5-b947-763fbdc54ed4-C	IRON MOUNTAIN SECURE SHREDDING, INC.	IRON MOUNTAIN INCORPORATED	IRM	parent-name
09c94e6e-003f-7a9a-a6a9-2305eb5b6025-C	APPLE INC		AAPL	own-name
0a1870fe-63cf-230c-7cff-41a3c552489b-C	AT&T ENTERPRISES, LLC		T	own-name
0a4b86ce-1724-5067-6aa7-f0a9af50c129-C	ALLEGIANT AIR LLC	ALLEGIANT TRAVEL COMPANY	ALGT	parent-name
0a66ad45-abfc-7ae0-0665-32d88ff1fb22-C	NORTHERN STATES POWER COMPANY	XCEL ENERGY INC.	XEL	parent-name
0abea40a-72e5-fad5-db9b-b142cbb981e4-C	TENNANT SALES AND SERVICE COMPANY	TENNANT COMPANY	TNC	parent-name
0b19e4e4-bf1e-773b-a5c6-59683d308e14-C	RIVERSIDE ENGINEERING LLC	BOOZ ALLEN HAMILTON HOLDING CORPORATION	BAH	parent-name
0c2ec31a-524a-3983-8a91-f1b84e521dcb-C	CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.	CONSOLIDATED EDISON, INC.	ED	parent-name
0d5d456b-6d06-d27c-1fbe-d75198e724b6-C	COMMONWEALTH EDISON CO	EXELON CORPORATION	EXC	parent-name
0d87bad0-744d-064c-e353-5ade09f3bc25-C	SNAP, INC		SNAP	own-name
0ec2982e-1af5-7c07-1267-43ca6833f333-C	MOTOROLA SOLUTIONS, INC.		MSI	own-name
0eedf238-8a2b-ad43-3239-d399ca132f85-C	HONEYWELL INTERNATIONAL, INC		HON	own-name
0f4fc69f-90b0-3adc-8052-aaef04b55efa-C	CARRIER CORPORATION	RTX CORP	RTX	parent-name
108b454d-a668-8157-acbc-d6947e8e52dc-C	MCI COMMUNICATIONS SERVICES LLC	VERIZON COMMUNICATIONS INC	VZ	parent-name
12742781-f07d-409b-9a61-cb580599e8c2-C	MCKESSON CORPORATION		MCK	own-name
13118f61-1859-be73-03d7-603420277bb2-C	S&P GLOBAL INC.		SPGI	own-name
136e47c1-2fd0-02b1-44eb-264cbc9d4bf9-C	OPTUM INFUSION SERVICES 308, LLC	UNITEDHEALTH GROUP INCORPORATED	UNH	parent-name
14c92d76-9870-ace3-dbf2-431863daf0bd-C	KBR WYLE SERVICES, LLC	HONEYWELL INTERNATIONAL INC	HON	parent-name
14e4d073-7ea5-fc77-e8ca-5b8ec1645798-C	CONCUR TECHNOLOGIES, INC.	SAP SE	SAP	parent-name
15b365af-a0c6-6012-a948-a35741cd0ea2-C	HONEYWELL INTERNATIONAL INC.		HON	own-name
1673f61b-6d1c-da56-666d-efb569d6b968-C	THERMO FISHER SCIENTIFIC (ASHEVILLE) LLC	THERMO FISHER SCIENTIFIC INC.	TMO	parent-name
168dba4a-3269-cddb-6256-d010ad1944d7-C	THERMO ELECTRON NORTH AMERICA LLC	THERMO FISHER SCIENTIFIC INC.	TMO	parent-name
17062da9-ec5b-68dc-3368-31e2e4478238-C	SAP PUBLIC SERVICES INC	SAP SE	SAP	parent-name
17296d12-dcf2-41f7-d285-c595591b6a77-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
18263529-f8f1-59ff-6263-cec7193e5975-C	GRIMES AEROSPACE COMPANY	HONEYWELL INTERNATIONAL INC	HON	parent-name
1a41e919-856a-75e3-7343-49b3e7cfe93e-C	ARRAY USA, INC.		ARRY	own-name
1a73c826-93ea-5350-f541-533cae0f38f2-C	PPG INDUSTRIES, INC.		PPG	own-name
1aa2628c-1397-0a64-42fc-579340cc3882-C	SCOTT TECHNOLOGIES, INC.	JOHNSON CONTROLS, INC.	JCI	parent-name
1b23e97c-d19e-eb84-942e-5941369c9141-C	GENERAL DYNAMICS ONE SOURCE LLC	GENERAL DYNAMICS CORP	GD	parent-name
1b7f3eb3-de98-faf4-9509-c4a9568ad372-C	CITIBANK, NATIONAL ASSOCIATION	CITIGROUP INC.	C	parent-name
1b870f9e-28fd-fecf-a5bd-abb4bd04e550-C	LOCKHEED MARTIN CORPORATION		LMT	own-name
1c5c053c-719d-0c13-5434-9736426147ef-C	HONEYWELL INTERNATIONAL INC.		HON	own-name
1d10c8dc-bddb-c540-f234-91dd249f452e-C	ADVANCED MICRO DEVICES, INC.		AMD	own-name
1d88632b-81d6-b72b-652f-c183b3bf0481-C	GENERAL DYNAMICS MISSION SYSTEMS, INC.	GENERAL DYNAMICS CORP	GD	parent-name
1e2a2523-5616-b8b9-20ad-976519364d40-C	ATMOS ENERGY CORPORATION		ATO	own-name
1e48f7b0-13db-6b61-9e05-92c1296a945d-C	ACCENTURE LLP		ACN	own-name
1fa8e8a8-9489-3b06-779d-7bd4ce531b2e-C	AT&T CORP.		T	own-name
1fd9c5d7-99f5-9f2b-29ce-2333453eb637-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
1ff1ee01-c907-4842-d443-a2ba2302dcf5-C	SYSCO WESTERN MINNESOTA, INC.	SYSCO CORP	SYY	parent-name
203430f8-c340-6b28-6176-a3251ad63357-C	WICKR LLC	AMAZON.COM, INC.	AMZN	parent-name
2059c143-eab8-8123-0622-9f40d0741839-C	PACIFIC BELL TELEPHONE COMPANY	AT&T INC.	T	parent-name
21b5ad17-3d56-1895-9497-59bc8f8d29f0-C	ARTIVION, INC		AORT	own-name
223a51b1-d9aa-b2d3-7642-8295d9a47223-C	ADM RICE INC	ARCHER-DANIELS-MIDLAND COMPANY	ADM	parent-name
2249cec5-5efe-d211-bfc4-e6dd47f0bf67-C	FLUOR FEDERAL PETROLEUM OPERATIONS, LLC	FLUOR CORPORATION	FLR	parent-name
23e9e4e5-69e4-bf74-8239-89472729f508-C	CINTAS CORPORATION		CTAS	own-name
258226b6-504d-afdd-19f9-d44ccc479d83-C	FASTENAL COMPANY		FAST	own-name
