Adam Schiff
Alexandria Ocasio-Cortez
Amy Klobuchar
Bernie Sanders
Bill Foster
Blake Moore
Brett Guthrie
Chuck Schumer
Cory Booker
Dan Crenshaw
Dan Goldman
Debbie Wasserman Schultz
Don Beyer
Elise Stefanik
Elizabeth Warren
Frank Lucas
Frank Pallone
Hakeem Jeffries
Ilhan Omar
Jared Moskowitz
Jasmine Crockett
Jason Smith
Jim Himes
Jim Jordan
John Cornyn
John Thune
Josh Gottheimer
Josh Hawley
Katie Porter
Kevin McCarthy
Lindsey Graham
Lisa Murkowski
Lois Frankel
Marco Rubio
Marjorie Taylor Greene
Matt Gaetz
Maxine Waters
Michael McCaul
Mike Johnson
Mike Rogers
Mike Turner
Mitch McConnell
Nancy Pelosi
Pramila Jayapal
Rand Paul
Ro Khanna
Ron DeSantis
Ron Wyden
Scott Peters
Sheldon Whitehouse
Steve Scalise
Steven Horsford
Susan Collins
Susie Lee
Ted Cruz
Tom Emmer
Tommy Tuberville
